,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
2056,2021-03-24 14:38,WOS,ALMA DINAMITA,694,ALMA DINAMITA:WOS,0.69,0,2ONADYjJvqYVwjWavuY0H1
2058,2021-03-24 14:42,WOS,ALMA DINAMITA - Live Set,252071,ALMA DINAMITA - Live Set:WOS,252.07,1,22e93nNiMUPVqeNHh7FnrS
2059,2021-03-24 14:43,WOS,FREESTYLE - Live Set,85827,FREESTYLE - Live Set:WOS,85.83,1,0WYcVMr4ekWawPKIL2JDZd
2060,2021-03-24 14:49,Rusherking,Además de Mí - Remix,330040,Además de Mí - Remix:Rusherking,330.04,0,
2061,2021-03-24 14:52,Franky Style,Pa Que Te Acalores,181488,Pa Que Te Acalores:Franky Style,181.49,0,3zLvSaaKQEZnOlD5iPuWf9
2062,2021-03-24 14:56,Bizarrap,Wanda Nara (Bizarrap Remix),247293,Wanda Nara (Bizarrap Remix):Bizarrap,247.29,0,0LIrw4bN6n32HmxptRya7I
2063,2021-03-24 15:00,Dostrescinco,Momento de Swing,242510,Momento de Swing:Dostrescinco,242.51,0,
2064,2021-03-24 15:02,Arquero,Sencillo,139692,Sencillo:Arquero,139.69,0,4fu4YL8HrytEpM9xgoSUMt
2065,2021-03-24 15:05,Micro TDH,En El Hood,1100,En El Hood:Micro TDH,1.1,0,2uhmMOMbau6rcx0B78sxkc
2067,2021-03-24 15:07,Arquero,Zohan,80949,Zohan:Arquero,80.95,0,4IiDUBOOsGyzTkBbCzVvWE
2068,2021-03-24 15:09,WOS,ALMA DINAMITA - Live Set,124309,ALMA DINAMITA - Live Set:WOS,124.31,1,22e93nNiMUPVqeNHh7FnrS
2069,2021-03-24 15:12,Paulo Londra,So Fresh,44336,So Fresh:Paulo Londra,44.34,0,4Egu7kAjEmygXrtX2n7AIV
2071,2021-03-24 15:15,Maria Becerra,Acaramelao,185250,Acaramelao:Maria Becerra,185.25,0,
2072,2021-03-24 15:16,WOS,ALMA DINAMITA - Live Set,0,ALMA DINAMITA - Live Set:WOS,0.0,1,22e93nNiMUPVqeNHh7FnrS
