,track_uri,artist_uri,genres
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,beatlesque
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,british invasion
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,classic rock
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,merseybeat
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,psychedelic rock
395,389QX9Q1eUOEZ19vtzzI9O,3WrFJ7ztbogyGnTHbHJFl2,rock
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,cumbia pop
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,latin
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,latin pop
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,rock en espanol
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,spanish pop
396,67PS9sr4IGOeavkqkYGAoE,1OUDQLymoysITxprkd0Qvj,spanish pop rock
397,75JFxkI2RXiU7L9VXzMkle,4gzpq5DPGxSnKTe4SA8HAU,permanent wave
397,75JFxkI2RXiU7L9VXzMkle,4gzpq5DPGxSnKTe4SA8HAU,pop
398,4nTWserD4pdou0yCPeW8Cv,1uNFoZAHBGtllmzznpCI3s,canadian pop
398,4nTWserD4pdou0yCPeW8Cv,1uNFoZAHBGtllmzznpCI3s,pop
399,2JvYDGWN21QQOdtUlRdg7w,0h1zs4CTlU9D2QtgPxptUD,cantautor
399,2JvYDGWN21QQOdtUlRdg7w,0h1zs4CTlU9D2QtgPxptUD,latin
399,2JvYDGWN21QQOdtUlRdg7w,0h1zs4CTlU9D2QtgPxptUD,latin arena pop
399,2JvYDGWN21QQOdtUlRdg7w,0h1zs4CTlU9D2QtgPxptUD,latin pop
399,2JvYDGWN21QQOdtUlRdg7w,0h1zs4CTlU9D2QtgPxptUD,rock en espanol
400,07teadPIKom0bfxlo1ATAj,0h1zs4CTlU9D2QtgPxptUD,cantautor
400,07teadPIKom0bfxlo1ATAj,0h1zs4CTlU9D2QtgPxptUD,latin
400,07teadPIKom0bfxlo1ATAj,0h1zs4CTlU9D2QtgPxptUD,latin arena pop
